Molecule ChEMBL ID;Smiles;IC50_nM;Activity_status
CHEMBL142703;N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2;0.12;Active
CHEMBL2063040;N=C(N)NCCC[C@H](N)C(=O)N1C[C@@H](O)C[C@H]1B(O)O;0.31;Active
CHEMBL5425473;N[C@H](C(=O)N1Cc2ccccc2C1)C1CCC(O)CC1;1;Active
CHEMBL195189;CC(C)[C@H](N)C(=O)N1CCC[C@@H]1B(O)O;2;Active
CHEMBL67279;CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O;2;Active
CHEMBL2063033;O=C([C@@H]1CCCN1)N1C[C@@H](O)C[C@H]1B(O)O;2.1;Active
CHEMBL67279;CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O;2.2;Active
CHEMBL63860;C[C@H](N)C(=O)N1CCC[C@H]1B(O)O;2.8;Active
CHEMBL5402430;CC(C)(C)OC(=O)NC12CC3CC(CC(NCC(=O)N4Cc5cc(F)c(F)cc5C4)(C3)C1)C2;3;Active
CHEMBL2063024;C[C@H](N)C(=O)N1C[C@@H](O)C[C@H]1B(O)O;3.5;Active
CHEMBL5398643;CC(C)(C)NC(=O)NC12CC3CC(CC(NCC(=O)N4Cc5ccc(F)cc5C4)(C3)C1)C2;4;Active
CHEMBL194852;CCCC[C@H](N)C(=O)N1CCC[C@@H]1B(O)O;4.6;Active
CHEMBL472128;N#C[C@@H]1C[C@H](N=[N+]=[N-])CN1C(=O)[C@@H](N)CCCCNc1ccc2ccccc2c1;4.6;Active
CHEMBL471547;CC[C@@H](C)[C@H](N)C(=O)N1C[C@@H](N=[N+]=[N-])C[C@H]1C#N;6.3;Active
CHEMBL2063031;CC(C)(C)[C@H](N)C(=O)N1C[C@@H](O)C[C@H]1B(O)O;6.4;Active
CHEMBL194428;NCC[C@H](N)C(=O)N1CCC[C@@H]1B(O)O;6.7;Active
CHEMBL2063035;O=C([C@@H]1C[C@@H](O)CN1)N1C[C@@H](O)C[C@H]1B(O)O;9.3;Active
CHEMBL2063037;O=C([C@@H]1C[C@H](O)CN1)N1C[C@@H](O)C[C@H]1B(O)O;9.5;Active
CHEMBL2063026;C[C@H](N)C(=O)N1C[C@H](F)C[C@H]1B(O)O;11;Active
CHEMBL5406353;O=C(NC(c1ccccc1)c1ccccc1)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;14;Active
CHEMBL2063032;CC(C)(C)[C@H](N)C(=O)N1C[C@H](O)C[C@H]1B(O)O;14;Active
CHEMBL5421476;CC(C)(C)OC(=O)NC12CC3CC(CC(NCC(=O)N4Cc5ccc(F)cc5C4)(C3)C1)C2;14;Active
CHEMBL5434105;O=C(NC12CC3CC(C1)CC(OCc1ccc(F)cc1F)(C3)C2)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;20;Active
CHEMBL1929394;Cc1nc2cc(-c3ccccc3)nn2c(C)c1C(=O)NCC(C)(C)NCC(=O)N1CCC[C@H]1C#N.Cl;21;Active
CHEMBL471731;N#C[C@@H]1C[C@H](N=[N+]=[N-])CN1C(=O)[C@@H](N)CCCCN;25;Active
CHEMBL1929395;Cc1cc2nc(C)c(C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N)c(C)n2n1.Cl;28;Active
CHEMBL1929392;Cc1c(C(=O)NCC(C)(C)NCC(=O)N2CCC[C@H]2C#N)cnc2cc(-c3ccccc3)nn12.Cl;30;Active
CHEMBL3330051;Cc1ccccc1C[C@@H](N)CC(=O)N1C[C@@H](F)C[C@H]1C#N;30;Active
CHEMBL391466;O=C([C@@H]1C[C@H](N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)CN1)N1CCSC1;30;Active
CHEMBL391466;O=C([C@@H]1C[C@H](N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)CN1)N1CCSC1;30.2;Active
CHEMBL5407990;CC(C)(C)NC(=O)NC12CC3CC(CC(NCC(=O)N4Cc5cc(F)c(F)cc5C4)(C3)C1)C2;32;Active
CHEMBL5401924;N#Cc1ccc(CCC(=O)NC23CC4CC(CC(NCC(=O)N5Cc6ccccc6C5)(C4)C2)C3)cc1;32;Active
CHEMBL5400525;O=C(NC12CC3CC(CC(C3)C1)C2)NC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;33;Active
CHEMBL2063029;N[C@@H](CCC(=O)O)C(=O)N1C[C@@H](O)C[C@H]1B(O)O;35;Active
CHEMBL471546;CC[C@H](C)[C@H](N)C(=O)N1C[C@@H](N=[N+]=[N-])C[C@H]1C#N;35;Active
CHEMBL1082347;CO[C@@H]1C[C@H]2C[C@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1.Cl;37;Active
